date,open,high,low,close,volume
2024-01-07,0.52296,0.5309,0.488,0.4947,35153289.0126335
2024-01-08,0.49441,0.5449,0.465,0.5416,77466577.00503781
2024-01-09,0.5417,0.5441,0.496294,0.5123,53093302.870301805
2024-01-10,0.512351,0.5899,0.487311,0.5664,81257775.66523203
2024-01-11,0.565839,0.6196,0.56064,0.582,83539330.20429443
2024-01-12,0.582,0.589,0.5258,0.5475,54840230.81650131
2024-01-13,0.5477,0.5538,0.531,0.5491,25047100.782899674
2024-01-14,0.5489,0.55,0.523041,0.5246,22836186.105194543
2024-01-15,0.525,0.5472,0.521229,0.52767,22686345.316309836
2024-01-16,0.52802,0.54874,0.525,0.5353,21377403.820381567
2024-01-17,0.5355,0.53954,0.520554,0.527868,20732327.409125067
2024-01-18,0.5278,0.527872,0.495,0.502,39915816.305875815
2024-01-19,0.501811,0.50576,0.4704,0.504,45588934.66687683
2024-01-20,0.504,0.51905,0.498184,0.5156,23704743.587054484
2024-01-21,0.5154,0.52106,0.502,0.5028,20857960.3383024
2024-01-22,0.5029,0.50748,0.4743,0.477978,38275454.63358588
2024-01-23,0.478,0.48639,0.4473,0.477024,51615148.51595742
2024-01-24,0.477,0.48065,0.4639,0.4762,39087976.4843327
2024-01-25,0.4763,0.486109,0.4581,0.4663,28637579.021610215
2024-01-26,0.466267,0.490225,0.4628,0.4848,21857201.15203542
2024-01-27,0.4849,0.49016,0.475296,0.4861,12993839.823071295
2024-01-28,0.4862,0.500922,0.483301,0.4903,19657603.101074025
2024-01-29,0.4904,0.528297,0.4837,0.525973,32993438.57943908
2024-01-30,0.5263,0.5376,0.5123,0.5137,39902579.799555056
2024-01-31,0.5138,0.5203,0.4931,0.4974,37214761.5468342
2024-02-01,0.4972,0.50837,0.485362,0.507449,22103231.38630877
2024-02-02,0.507748,0.52424,0.5038,0.5144,29150770.28543367
2024-02-03,0.5145,0.525591,0.5115,0.5123,16215107.653875992
2024-02-04,0.51236,0.512465,0.493,0.4931,14411206.359985145
2024-02-05,0.493326,0.50596,0.4867,0.4938,19081179.15354382
2024-02-06,0.4938,0.504,0.4884,0.4982,19336329.969498593
2024-02-07,0.4981,0.5024,0.471843,0.5022,57688036.835033454
2024-02-08,0.5022,0.5376,0.5019,0.5305,63340068.4794351
2024-02-09,0.5304,0.54898,0.5279,0.5409,48828659.226142585
