date,open,high,low,close,volume
2024-01-07,7.132,7.3315,6.818,6.902,1703969.1344194068
2024-01-08,6.898,7.513,6.51,7.4911,2058969.2534004995
2024-01-09,7.491,7.533,6.9,7.13,1835880.9965021359
2024-01-10,7.13,8.088,6.7973,7.987,2802683.4422908346
2024-01-11,7.987,8.585,7.858,8.148,3879640.941541401
2024-01-12,8.149,8.217,7.3,7.561,2373676.6652235147
2024-01-13,7.566,7.75,7.37,7.614,1434630.0591369313
2024-01-14,7.613,7.696,7.309,7.3209,971783.811870804
2024-01-15,7.316,7.826,7.3,7.502,1087883.9522505682
2024-01-16,7.502,7.6814,7.319,7.489,1261234.7295881324
2024-01-17,7.493,7.596,7.249,7.341,1283263.5409010844
2024-01-18,7.342,7.3915,6.8164,7.013,1845167.0287511826
2024-01-19,7.013,7.0557,6.567,6.888,1758632.7350635522
2024-01-20,6.885,6.9608,6.773,6.91,838276.0196447149
2024-01-21,6.909,7.289,6.799,6.811,679454.7097878136
2024-01-22,6.812,6.8574,6.2792,6.334,2956659.771263924
2024-01-23,6.334,6.4552,5.969,6.358,2405620.3412111676
2024-01-24,6.3573,6.54,6.256,6.462,1655199.4085930744
2024-01-25,6.462,6.569,6.343,6.4353,1353295.1946251898
2024-01-26,6.433,6.779,6.356,6.669,1581927.4481489619
2024-01-27,6.668,6.7616,6.526,6.668,1056196.2118516269
2024-01-28,6.668,6.872,6.567,6.871,1128284.603015365
2024-01-29,6.871,7.2985,6.7051,7.031,5350601.801711236
2024-01-30,7.029,7.199,6.8155,6.837,1862477.0782143944
2024-01-31,6.838,6.884,6.581,6.649,1316016.557032869
2024-02-01,6.649,6.8177,6.5054,6.79,1047925.6093203407
2024-02-02,6.793,7.0238,6.759,6.944,896269.5656463533
2024-02-03,6.945,7.004,6.81,6.826,552286.2511956512
2024-02-04,6.8214,6.831,6.645,6.662,493999.0053941174
2024-02-05,6.663,6.9698,6.589,6.7262,1225960.9025958888
2024-02-06,6.728,6.8314,6.6337,6.806,1022582.8152093929
2024-02-07,6.806,6.962,6.666,6.939,1403405.425531355
2024-02-08,6.94,7.109,6.754,7.015,1957200.4546201814
2024-02-09,7.015,7.329,6.961,7.196,1863458.1909552894
2024-02-10,7.199,7.295,7.0623,7.202,870930.8929476101
2024-02-11,7.2033,7.345,7.08,7.101,970106.4651091644
2024-02-12,7.102,7.382,6.981,7.345,1593558.046662864
2024-02-13,7.344,7.511,7.115,7.358,1415797.2117089722
2024-02-14,7.359,7.8893,7.278,7.657,2335225.1961341547
2024-02-15,7.655,7.958,7.5301,7.788,2298137.2672786093
2024-02-16,7.788,7.872,7.5415,7.656,1342020.4037409762
2024-02-17,7.655,7.712,7.3288,7.7045,1058886.168371319
2024-02-18,7.707,7.923,7.26,7.8578,1345099.214325813
2024-02-19,7.8602,8.15,7.6472,8.029,1618060.3688086225
2024-02-20,8.0284,8.119,7.4041,7.73,1966589.7489763342
2024-02-21,7.731,7.731,7.222,7.468,2109782.318629362
2024-02-22,7.469,7.685,7.276,7.475,1569967.427417478
2024-02-23,7.4801,7.645,7.243,7.564,1853495.0810868447
2024-02-24,7.564,7.8965,7.431,7.82,1471715.8720621658
2024-02-25,7.819,7.947,7.677,7.92,1110728.291993168
2024-02-26,7.922,8.124,7.58,8.111,2206259.702744309
2024-02-27,8.113,8.45,7.9866,8.372,3037366.4251998365
2024-02-28,8.373,8.727,7.7105,8.354,4788502.167446936
2024-02-29,8.353,8.9,8.0414,8.266,4435468.712642786
2024-03-01,8.268,8.68,8.2613,8.667,2632517.991546356
2024-03-02,8.67,9.473,8.584,9.47,3851153.3224102072
2024-03-03,9.469,9.917,8.562,9.783,3767755.5818722188
2024-03-04,9.7865,10.315,9.5847,9.878,5289643.314800236
2024-03-05,9.877,10.8,8.0527,9.336,8746711.83952023
2024-03-06,9.335,10.569,8.931,10.546,5052249.2852340285
2024-03-07,10.55,11.021,10.234,10.42,3420221.717279635
2024-03-08,10.423,10.894,9.9245,10.6599,3707146.7724316143
2024-03-09,10.659,10.977,10.409,10.514,1872298.4113990022
2024-03-10,10.516,10.595,9.9401,10.273,1891196.2566072333
2024-03-11,10.276,11.258,9.8,11.0254,3988840.516740509
2024-03-12,11.0254,11.153,10.046,10.737,3129977.368078194
2024-03-13,10.739,11.4,9.78,11.38,3272262.584206374
2024-03-14,11.384,11.893,10.664,11.557,5650424.642314325
2024-03-15,11.554,11.702,9.976,10.812,5309571.863514199
2024-03-16,10.812,10.905,9.5,9.6769,3025324.5915412637
2024-03-17,9.674,10.258,9.194,10.0776,2464932.4219043516
2024-03-18,10.0741,10.456,9.601,9.901,2933235.0174324242
2024-03-19,9.8946,9.991,8.6,8.766,5586893.75184389
2024-03-20,8.763,9.57,8.489,9.484,4738238.1988795735
2024-03-21,9.4829,9.5891,9.064,9.179,2617551.432906423
2024-03-22,9.176,9.3703,8.6963,8.94,2578607.996102846
2024-03-23,8.941,9.2277,8.853,8.9728,1330592.9003124938
2024-03-24,8.9712,9.4348,8.9551,9.373,1029501.2299261653
2024-03-25,9.374,9.831,9.287,9.7367,1707168.8173080494
2024-03-26,9.738,10.059,9.5239,9.689,1938009.7910589364
2024-03-27,9.686,9.81,9.302,9.441,1992468.8283987688
