date,open,high,low,close,volume
2024-01-07,13.444,13.758,13.0,13.161,1247184.2148374072
2024-01-08,13.1499,14.419,12.513,14.154,2758279.842846965
2024-01-09,14.159,14.269,13.21714,13.71196,2558582.191558357
2024-01-10,13.722,15.367,13.56,15.075,3396886.0653201626
2024-01-11,15.08,15.699,14.601,15.024,2445624.4007273316
2024-01-12,15.027,15.309,13.604,14.148,1865658.9537662081
2024-01-13,14.152,14.432,13.78,14.349,677617.5679672403
2024-01-14,14.346,15.42,14.263,14.743,2322734.087466198
2024-01-15,14.736,16.009,14.733,15.174,2914036.8259723606
2024-01-16,15.175,15.352,14.735,15.27,1449118.2905342586
2024-01-17,15.267,16.4,15.267,15.749,3277581.578541533
2024-01-18,15.752,15.85917,14.15435,14.65,3010762.1383920857
2024-01-19,14.65,16.4,14.45,16.103,3587715.9254148183
2024-01-20,16.106,16.55,15.636,15.77,2870348.452152407
2024-01-21,15.798,15.923,15.351,15.382,1085279.873762497
2024-01-22,15.378,15.963,14.45066,14.583,3016527.179752985
2024-01-23,14.577,14.872,13.551,14.292,3148851.2266306775
2024-01-24,14.293,14.423,13.902,14.231,1779182.9531012585
2024-01-25,14.235,14.256,13.5,13.733,1625145.847440096
2024-01-26,13.733,14.296,13.631,14.186,1526445.9596504464
2024-01-27,14.184,14.4189,14.09,14.345,723490.0702206556
2024-01-28,14.344,14.697,14.2,14.479,1182637.5168010513
2024-01-29,14.48136,15.082,14.26,15.004,1850023.7585298442
2024-01-30,15.005,15.804,14.896,15.475,2325495.6211841987
2024-01-31,15.475,16.05,15.075,15.419,2774361.0236193826
2024-02-01,15.417,17.38051,15.132,17.184,4841177.982143133
2024-02-02,17.183,18.89771,17.13,17.826,5802543.250379173
2024-02-03,17.821,18.139,17.5,17.652,1930861.9984917655
2024-02-04,17.656,18.75,17.528,18.148,2311008.6927554477
2024-02-05,18.14778,19.90311,17.78335,19.139,4673451.102344512
2024-02-06,19.14355,19.309,18.20001,18.287,2319278.378670368
2024-02-07,18.287,19.08148,18.056,18.812,2259359.3116395776
2024-02-08,18.818,19.266,18.0,18.216,2876117.1117026545
2024-02-09,18.216,18.62475,18.00395,18.483,2145684.2654000437
2024-02-10,18.484,19.131,18.0,19.088,1572279.6898041377
2024-02-11,19.086,20.693,18.862,20.153,3209701.014869367
2024-02-12,20.15479,20.852,19.74046,20.481,2911450.221948718
2024-02-13,20.489,20.612,19.47,19.879,2487936.6926441835
2024-02-14,19.879,20.444,19.718,20.262,2113771.2065307377
2024-02-15,20.262,20.569,19.65119,19.95242,2254636.122336413
2024-02-16,19.952,20.9,19.132,19.566,2079861.8191026158
2024-02-17,19.573,20.279,19.23,20.038,1427829.6621511208
2024-02-18,20.038,20.38,19.768,20.123,1049953.0456512277
2024-02-19,20.11558,20.25,19.652,19.834,1577038.7453362762
2024-02-20,19.832,19.886,18.403,19.296,2313898.946531055
2024-02-21,19.288,19.292,17.9959,18.597,1978914.0548058113
2024-02-22,18.6,19.006,18.065,18.105,1764780.1279719276
2024-02-23,18.10398,18.29,17.585,17.934,1865256.0785091838
2024-02-24,17.933,18.6,17.75,18.53,902691.7381299816
2024-02-25,18.535,18.855,18.369,18.724,844813.0871569011
2024-02-26,18.7155,19.279,18.135,19.103,1917827.8802092448
2024-02-27,19.102,19.388,18.67166,19.032,1855230.0647159175
2024-02-28,19.027,20.85,17.85,19.455,5543715.507587765
2024-02-29,19.45,20.462,18.822,19.284,3701055.789586543
2024-03-01,19.288,20.114,19.275,20.063,1925937.3087184967
2024-03-02,20.067,21.71,19.96,21.416,3915712.7952944045
2024-03-03,21.414,21.549,19.36,20.519,2223356.603322559
2024-03-04,20.51989,20.905,19.805,20.448,3098092.8472563205
2024-03-05,20.445,21.064,16.58,19.002,6537454.679143898
2024-03-06,19.002,20.166,18.405,20.098,3420623.619354931
2024-03-07,20.1,20.803,19.605,20.124,2930552.0439436664
2024-03-08,20.129,20.417,19.2,19.746,2503225.436302927
2024-03-09,19.746,20.369,19.654,20.019,1490696.4640152624
2024-03-10,20.017,21.994,19.427,21.711,3101401.3663963466
2024-03-11,21.713,22.876,20.724,21.277,5560511.373028191
2024-03-12,21.282,21.347,19.433,20.655,2773370.277331464
2024-03-13,20.705,20.969,20.18,20.767,1994599.4546907332
2024-03-14,20.763,21.989,19.85,20.875,3843389.3153877384
2024-03-15,20.879,20.992,18.48514,19.634,3485916.3404771914
2024-03-16,19.635,19.825,17.804,18.105,2474948.620693936
2024-03-17,18.102,18.855,17.37221,18.65,2057996.6697366254
2024-03-18,18.65165,19.491,18.046,18.299,2503709.327672185
2024-03-19,18.298,18.46,16.5,16.804,4144703.559570033
2024-03-20,16.789,18.505,16.262,18.419,3185577.5192434564
2024-03-21,18.416,18.913,17.88,18.447,2082192.6329372206
2024-03-22,18.439,18.5775,17.326,18.372,1969692.0087232855
2024-03-23,18.367,18.477,17.89639,18.067,1396658.7697907432
2024-03-24,18.066,18.626,17.976,18.522,812546.3060254017
2024-03-25,18.52223,19.499,18.372,19.3813,1659531.01355254
2024-03-26,19.376,20.735,19.329,20.009,2110546.9132833243
2024-03-27,20.008,20.187,18.99194,19.284,1721409.7761203689
2024-03-28,19.281,19.805,19.034,19.146,1309742.0947448825
2024-03-29,19.151,19.298,18.712,18.978,925903.9381511296
2024-03-30,18.978,19.30596,18.789,18.959,771579.1807902321
2024-03-31,18.944,19.36,18.878,19.17,769860.7775223384
2024-04-01,19.1645,19.288,17.849,18.371,1393001.1147695496
2024-04-02,18.37,18.493,17.389,17.958,2154542.4516740995
2024-04-03,17.959,18.353,17.382,17.691,1254952.0361685536
2024-04-04,17.687,18.272,17.397,17.8,1148342.1512364664
2024-04-05,17.791,17.791,16.84,17.33,945968.7098872158
2024-04-06,17.334,17.688,17.269,17.564,409600.47503214615
2024-04-07,17.569,17.97773,17.505,17.917,564524.1118799903
2024-04-08,17.91751,18.676,17.547,18.102,1154696.3120153921
2024-04-09,18.102,18.18,17.241,17.354,909422.7386462638
2024-04-10,17.353,17.5879,16.805,17.415,951333.0041245983
2024-04-11,17.418,17.621,17.003,17.558,768733.5101329932
2024-04-12,17.557,17.878,13.691,15.164,4455244.206686188
2024-04-13,15.164,15.406,11.92947,13.318,5979010.790250659
2024-04-14,13.317,14.273,12.726,14.119,3629197.2481018077
2024-04-15,14.11664,14.689,13.232,13.592,2473928.51780585
2024-04-16,13.59,13.839,12.82395,13.471,1787710.2434585395
2024-04-17,13.47,13.613,12.721,13.136,1260437.2035069428
2024-04-18,13.134,13.99,12.816,13.893,1009884.0767611192
2024-04-19,13.897,14.13,12.75,13.955,1858692.336852767
2024-04-20,13.954,15.044,13.756,14.964,1447638.583504567
2024-04-21,14.965,15.204,14.537,15.106,775974.9381813911
2024-04-22,15.11281,16.047,15.015,15.45288,1733740.8382644958
2024-04-23,15.459,15.584,15.107,15.182,899211.3238455802
2024-04-24,15.181,15.647,14.101,14.528,1405539.1752479575
