date,open,high,low,close,volume
2024-01-07,0.8282,0.8445,0.7925,0.8019,8215248.313814378
2024-01-08,0.8014,0.8445,0.73563,0.8424,26821173.593890205
2024-01-09,0.8425,0.8455,0.7793,0.8065,17472012.96139663
2024-01-10,0.8065,0.9141,0.8028,0.8999,38693002.88929317
2024-01-11,0.9,0.963,0.8824,0.9266,39141920.09807462
2024-01-12,0.9268,0.9483,0.8324,0.863,31038267.25103753
2024-01-13,0.8633,0.88816,0.8403,0.8813,11107731.554618446
2024-01-14,0.8814,0.8832,0.8359,0.8367,11771182.335673865
2024-01-15,0.8368,0.86738,0.8352,0.8441,9417722.643691262
2024-01-16,0.844,0.858,0.8274,0.8449,11683664.571364183
2024-01-17,0.8449,0.85248,0.8015,0.8103,13369479.500620935
2024-01-18,0.81,0.82069,0.771,0.7852,13386755.900118
2024-01-19,0.7856,0.7973,0.7424,0.7618,17391087.70397989
2024-01-20,0.7616,0.78904,0.7506,0.7869,9033952.050636876
2024-01-21,0.7864,0.80822,0.7798,0.7826,9443663.729934579
2024-01-22,0.7828,0.79186,0.7296,0.7465,16834137.20887512
2024-01-23,0.7463,0.76539,0.6908,0.7255,15114295.186440477
2024-01-24,0.725,0.74559,0.7156,0.7389,13947593.662639065
2024-01-25,0.7388,0.73938,0.7164,0.7321,8467259.362288026
2024-01-26,0.7316,0.7626,0.7264,0.7586,11156022.298805336
2024-01-27,0.7593,0.7891,0.7553,0.7881,11587334.471179407
2024-01-28,0.788,0.81,0.7809,0.7891,13565519.988355828
2024-01-29,0.7891,0.8178,0.7737,0.8132,15965493.80702268
2024-01-30,0.8132,0.8223,0.7956,0.7992,16693276.943529684
2024-01-31,0.7992,0.8338,0.7783,0.7867,17481135.9295557
2024-02-01,0.7867,0.8171,0.765,0.8109,12765099.603104243
2024-02-02,0.8112,0.8225,0.7725,0.799,13366079.769221691
2024-02-03,0.7999,0.806,0.7802,0.785,5745404.425045981
2024-02-04,0.7849,0.7881,0.77,0.7733,6504994.048392682
2024-02-05,0.773,0.79494,0.762,0.7792,9666252.729527213
2024-02-06,0.7793,0.8173,0.7766,0.8051,15691645.748575773
2024-02-07,0.805,0.8378,0.7866,0.8344,14326484.267161906
2024-02-08,0.8343,0.849,0.8224,0.8338,22013638.664585333
2024-02-09,0.8339,0.8593,0.8312,0.8534,23685188.1585026
2024-02-10,0.8534,0.869,0.838,0.849,13463176.61180159
2024-02-11,0.849,0.8658,0.8308,0.8356,13048397.054598255
2024-02-12,0.8356,0.8862,0.818,0.8799,28605643.79583168
2024-02-13,0.8812,0.885,0.8434,0.8544,15022415.044483876
2024-02-14,0.8542,0.8944,0.8445,0.8908,32240491.56173209
2024-02-15,0.8909,0.9116,0.8718,0.8905,26483120.735484596
2024-02-16,0.8905,0.9573,0.8868,0.9515,38866726.11325113
2024-02-17,0.952,0.9596,0.9004,0.9284,20411395.957973618
2024-02-18,0.9282,1.0,0.918,0.9996,23363630.4170478
2024-02-19,0.9998,1.0112,0.9735,0.9974,25325914.929226696
2024-02-20,0.9973,1.0341,0.94203,1.0208,40380957.322119765
2024-02-21,1.0227,1.0368,0.9075,0.9511,36824079.612601794
2024-02-22,0.9515,1.0533,0.9205,0.9923,49146484.40987095
2024-02-23,0.9922,1.0073,0.9427,0.9865,28322299.284319088
2024-02-24,0.9868,1.0309,0.97293,0.9941,17185051.840119313
2024-02-25,0.9941,1.0045,0.9633,0.999,18058768.93978445
2024-02-26,0.9991,1.072,0.97179,1.06,44011686.620960966
2024-02-27,1.06,1.079,1.0149,1.0289,33337363.39824477
2024-02-28,1.0289,1.0696,0.959,1.01,42357706.23196189
2024-02-29,1.0102,1.0633,0.98005,1.0022,46632527.65405935
2024-03-01,1.0022,1.0298,1.0,1.0255,26971816.856996704
2024-03-02,1.0255,1.1002,1.0238,1.0955,34876382.205869064
2024-03-03,1.0955,1.1192,1.0249,1.0897,28545150.281807553
2024-03-04,1.0897,1.15,1.0811,1.1464,42406937.2849246
2024-03-05,1.1462,1.1485,0.92,1.0351,56219138.85302742
2024-03-06,1.0344,1.1202,0.99403,1.119,40118040.087427534
2024-03-07,1.119,1.1766,1.1005,1.1621,40069928.928502806
2024-03-08,1.1622,1.1786,1.0982,1.1281,26830650.89779639
2024-03-09,1.1278,1.1605,1.1184,1.1594,22548338.231752113
2024-03-10,1.1593,1.2499,1.0963,1.2296,59198020.90238215
2024-03-11,1.2298,1.2501,1.1652,1.2411,29333568.947819445
2024-03-12,1.2411,1.2469,1.118,1.1821,38608802.32530334
2024-03-13,1.1823,1.2916,1.1754,1.2706,38644507.33758501
2024-03-14,1.271,1.286,1.1614,1.2232,35475697.78537168
2024-03-15,1.2219,1.23,1.0639,1.1418,43045191.1735491
2024-03-16,1.1418,1.1683,1.0233,1.0418,25167454.602732368
2024-03-17,1.0414,1.1,1.005,1.0878,21043757.339332167
2024-03-18,1.0877,1.0891,1.0078,1.0305,17987286.9052342
2024-03-19,1.03,1.0366,0.9086,0.9315,37868519.651862375
2024-03-20,0.9313,1.0167,0.91,1.0083,30802285.377430137
2024-03-21,1.0079,1.013,0.971,0.9953,16148493.66675438
2024-03-22,0.9952,1.0193,0.9499,0.9733,17139304.93737319
2024-03-23,0.9734,1.0036,0.9545,0.9796,16994626.179206975
2024-03-24,0.9793,1.0169,0.9753,1.0113,12090269.444114128
2024-03-25,1.0118,1.0609,1.0019,1.046,17540187.696370278
2024-03-26,1.0458,1.0779,1.0251,1.046,15741744.23940169
2024-03-27,1.0458,1.0865,0.9989,1.0081,25251379.12818324
2024-03-28,1.0084,1.0258,0.9952,1.0021,18067479.812250197
2024-03-29,1.0022,1.0062,0.977,0.9911,16661883.139464699
2024-03-30,0.9911,1.004,0.9754,0.98,10193344.96403709
2024-03-31,0.98,1.054,0.9772,1.0032,8139184.191542111
2024-04-01,1.003,1.0083,0.926,0.9512,20257068.03683671
2024-04-02,0.9514,0.9514,0.8849,0.9005,16582176.873692855
2024-04-03,0.9004,0.9233,0.8734,0.8954,12485546.79872867
2024-04-04,0.8954,0.923,0.8728,0.9059,17122355.384112235
2024-04-05,0.9058,0.9096,0.8604,0.8843,11767416.201469833
2024-04-06,0.8842,0.9066,0.8815,0.8975,5741543.075970917
2024-04-07,0.8974,0.924,0.8931,0.9109,10726165.379398834
2024-04-08,0.9112,0.9491,0.88943,0.9472,14486350.58722577
2024-04-09,0.9471,0.95002,0.8932,0.8972,10835136.212108452
2024-04-10,0.8969,0.9027,0.853,0.8873,13528227.726970356
2024-04-11,0.8873,0.89653,0.8614,0.8779,13348124.03321266
2024-04-12,0.878,0.8947,0.7159,0.7655,32687057.90060523
2024-04-13,0.7658,0.7728,0.5901,0.6542,45328412.50484989
2024-04-14,0.6541,0.71976,0.6318,0.7116,29590564.599966004
2024-04-15,0.7117,0.7528,0.6821,0.7079,24065220.230515484
2024-04-16,0.7078,0.73114,0.6729,0.7035,23162978.6116497
2024-04-17,0.7032,0.7103,0.6553,0.6679,12244144.796441142
2024-04-18,0.6678,0.6921,0.6501,0.6759,17060283.55323862
2024-04-19,0.6759,0.6914,0.6196,0.6733,21231391.019370276
2024-04-20,0.6732,0.7408,0.6637,0.7385,11781326.533239115
2024-04-21,0.7386,0.7451,0.7009,0.7139,10017318.355499785
2024-04-22,0.7138,0.7499,0.7091,0.7429,11630877.19168202
2024-04-23,0.7428,0.7491,0.7228,0.7292,8304868.136960058
2024-04-24,0.7291,0.76528,0.6973,0.7051,14254986.425495798
2024-04-25,0.7051,0.72845,0.6912,0.7206,9635895.387310075
2024-04-26,0.7202,0.732,0.6994,0.7029,8572997.32171068
2024-04-27,0.7029,0.7374,0.6807,0.7325,8240562.673896277
2024-04-28,0.7326,0.75,0.7181,0.7211,6502007.964454349
2024-04-29,0.7213,0.73422,0.6887,0.7039,11382986.925575038
2024-04-30,0.7039,0.7129,0.6464,0.6669,13552501.588447247
2024-05-01,0.6666,0.69789,0.6299,0.6909,15182822.170427423
2024-05-02,0.6912,0.72713,0.6724,0.7206,8804975.977367343
2024-05-03,0.7205,0.742,0.7144,0.7325,8703485.713873025
