date,open,high,low,close,volume
2024-01-07,93.84,96.88,87.65,89.48,1798380.8122924974
2024-01-08,89.51,99.99,83.94,98.0,3481413.2783902986
2024-01-09,98.0,105.48,92.22,99.42,2698075.7510695984
2024-01-10,99.36,105.56,92.03,102.01,2956481.1778829102
2024-01-11,102.02,107.25,97.5,99.91,3193537.6583372047
2024-01-12,99.9,100.6,86.372,92.1,2512251.8343028827
2024-01-13,92.11,97.51,89.5,95.87,1685688.8750351896
2024-01-14,95.86,105.44,93.61,93.77,2645745.4374780855
2024-01-15,93.75,96.928,92.96,94.32,1351665.5965831939
2024-01-16,94.3,98.748,94.09,97.59,1133493.649326576
2024-01-17,97.59,102.86,96.23,102.04,2692498.9040948246
2024-01-18,102.01,103.56,91.37,94.31,2220528.490576196
2024-01-19,94.33,95.6,87.0,93.6,2306390.488363249
2024-01-20,93.56,94.379,89.5,92.82,833683.4497182473
2024-01-21,92.82,94.093,90.7,91.02,645524.342794379
2024-01-22,91.03,92.088,81.94,83.75,2263539.660620172
2024-01-23,83.74,86.027,78.14,84.3,2465757.711312168
2024-01-24,84.28,89.467,83.25,88.74,1848617.7585578163
2024-01-25,88.74,89.701,85.03,86.86,1465198.5812381539
2024-01-26,86.87,93.7,85.8,92.24,1729044.8048879541
2024-01-27,92.27,94.82,90.64,94.27,1061170.7893025798
2024-01-28,94.28,99.44,93.43,95.98,1764744.017334823
2024-01-29,95.96,102.0,95.06,101.69,2153066.246218924
2024-01-30,101.69,106.46,100.96,101.4,2624348.132366088
2024-01-31,101.38,102.8,95.01,96.91,3020544.211448261
2024-02-01,96.88,98.07,92.44,97.78,2616560.9901137957
2024-02-02,97.81,102.56,97.36,100.55,2152353.3634207863
2024-02-03,100.57,101.2,96.58,97.93,1137476.5181979232
2024-02-04,97.92,98.58,95.051,95.47,831800.429150978
2024-02-05,95.42,98.623,94.1,95.5,1278328.7137132315
2024-02-06,95.52,97.9,93.04,96.86,1680788.9894919775
2024-02-07,96.86,101.54,94.57,101.13,1535723.427468508
2024-02-08,101.1,105.22,100.47,102.79,2614311.192344433
2024-02-09,102.81,109.2,102.78,106.99,2489145.162582706
2024-02-10,106.96,110.99,106.9,109.0,1555759.7613751518
2024-02-11,109.02,110.78,107.33,107.5,999008.0644951977
2024-02-12,107.5,112.28,103.38,111.7,2065849.1892642234
2024-02-13,111.72,115.25,108.29,112.55,1945231.9404174075
2024-02-14,112.54,118.72,110.66,117.14,1727647.1737560842
2024-02-15,117.12,118.48,110.02,113.62,1738845.1795932816
2024-02-16,113.58,114.35,108.0,110.38,1263224.9688039545
2024-02-17,110.41,111.16,105.6,108.95,729491.9929454175
2024-02-18,108.97,114.08,107.53,112.25,875979.840730673
2024-02-19,112.26,114.98,110.81,111.57,1149325.077761342
2024-02-20,111.57,112.14,103.0,108.32,1807732.5330748959
2024-02-21,108.39,108.42,100.15,105.05,1699242.158109857
2024-02-22,105.05,107.11,101.42,101.69,1361070.5331964882
2024-02-23,101.68,103.07,98.516,99.91,965060.4342198335
2024-02-24,99.89,104.92,98.46,104.01,807566.30797138
2024-02-25,104.01,104.54,102.01,103.47,568901.4553366019
2024-02-26,103.47,110.85,100.3,110.0,2061338.7100727921
2024-02-27,110.0,112.7,105.17,108.41,1986140.3223907575
2024-02-28,108.44,119.0,105.0,119.0,3629907.827535533
2024-02-29,119.0,134.75,117.12,125.73,4537748.58642082
2024-03-01,125.74,137.99,125.68,129.53,2657629.865853995
2024-03-02,129.55,131.8,127.17,130.22,1526418.846180055
2024-03-03,130.13,132.32,124.27,130.22,1420723.0105698542
2024-03-04,130.22,135.02,127.44,133.49,2422963.794522803
2024-03-05,133.48,143.0,106.33,125.55,4973060.9371127775
2024-03-06,125.48,134.99,120.08,130.91,2540052.8402493997
2024-03-07,130.91,150.0,130.64,144.06,3850034.5398637443
2024-03-08,144.05,153.0,141.2,145.12,2486171.7282485585
2024-03-09,145.12,149.49,143.58,144.58,908295.1150826293
