trade_id,symbol,asset_class,entry_date,exit_date,entry_price,exit_price,quantity,entry_fill_id,exit_fill_id,realized_pnl,entry_slippage_bps,entry_fee_bps,entry_total_cost,exit_slippage_bps,exit_fee_bps,exit_total_cost,total_cost,initial_stop_price,stop_price,exit_reason,triggered_on,holding_days,r_multiple,adv20_at_entry
1,GOOGL,equity,2024-04-29,2024-05-31,169.20546915723622,171.73910455009917,86,4ef56f8d-e501-4c3f-a7dd-e3526438d608,09229516-7097-4da5-8bdd-b874d9e376da,191.8772471485372,8.723071441811378,1,14.148693038664767,7.034566497326131,1,11.866703599011544,26.01539663767631,160.39497137069702,160.39497137069702,trailing_ma_cross,20D,32,0.2875700617885485,4569749504.0
2,NVDA,equity,2024-05-07,2024-06-25,91.16797876627744,121.14089840094412,101,48cd1fdf-99f0-49a8-98fd-710427a1370d,3a90aa0f-7ac9-4705-a781-d613e11969e9,3012.0811927689374,7.681748649996262,1,7.994124513427873,4.876117886644675,1,7.189565818969729,15.183690332397603,82.3451007604599,82.3451007604599,trailing_ma_cross,20D,49,3.397181692289458,39816425472.0
3,MSFT,equity,2024-06-12,2024-07-16,435.46218418654644,453.9699411432906,6,6d3c4060-cf9f-4705-9c08-1954e92ce9a6,50781e97-ff9d-497d-bcd1-044a4d060f34,108.16000820236864,3.266030964246595,1,1.1146170968989566,5.505263456926238,1,1.771916441197442,2.8865335380963986,415.2236387729645,415.2236387729645,trailing_ma_cross,20D,34,0.9144805903058495,7789883904.0
4,AMZN,equity,2024-06-24,2024-07-16,189.50514917462593,195.55054208406193,20,d72aa451-6e22-4735-8f90-bafb73184782,6b413f66-b1b6-45d1-8ab4-02296717c0dd,115.84263348971255,9.250902755894064,1,3.8851977118605774,2.017191807731421,1,1.1800269871469402,5.065224699007517,180.37666034698486,180.37666034698486,trailing_ma_cross,20D,22,0.6622556069883718,6519474688.0
5,GOOGL,equity,2024-06-24,2024-07-18,180.24773149083845,181.84939169322124,20,8d58894f-81d6-47e2-968f-8371190c4f87,2f2a574f-a41e-485e-933b-c92b9d8ee518,27.942293382581596,4.869439772746944,1,2.1159064083194776,4.430329566585841,1,1.975004256754698,4.090910665074175,171.28562998771667,171.28562998771667,trailing_ma_cross,20D,24,0.1787148027530018,4336733696.0
6,AAPL,equity,2024-06-04,2024-07-25,194.73220703659254,218.79877727385968,14,125aa9a4-2925-4a39-8f67-dda467a0d40d,af45203c-5633-4558-9ac9-903dd35f4b97,333.1554701593725,4.994606956622111,1,1.6342802601719089,5.993486790814735,1,2.142232902195614,3.776513162367523,186.211217045784,186.211217045784,trailing_ma_cross,20D,51,2.82438663385679,10141179904.0
7,NVDA,equity,2024-08-19,2024-09-04,124.36593383067175,105.36697794652618,58,62670669-46eb-4105-86ba-20f1a14e3e4f,3ec7cd13-3f48-49ca-86e1-1f2e53e5190c,-1110.7540444692902,6.914632460488798,1,5.709001809876373,4.081748798825443,1,3.105601378970633,8.814603188847006,106.78839802742004,106.78839802742004,trailing_ma_cross,20D,16,-1.0808657195641107,40851251200.0
8,AAPL,equity,2024-08-30,2024-09-05,230.32276236760296,221.52215646381092,60,1f19b963-1e2f-4b12-90e7-c147ac9ac9b1,e055feed-440e-4f98-9856-072a0439724e,-544.8853621366765,5.767406263895804,1,9.352126228585806,4.640430284899143,1,7.496881680567872,16.849007909153677,217.61984539031982,217.61984539031982,trailing_ma_cross,20D,6,-0.6928019697783063,11058880512.0
9,AAPL,equity,2024-10-22,2024-10-31,233.94391814282665,229.29999056475435,40,1a3e2ba4-9b34-45d6-933f-3c8e4b1cfef3,c67146ab-be7a-457c-823b-4b0ce9f718a6,-191.5675697758165,2.519342299618343,1,3.2933149074340036,1.7443871010320684,1,2.5171517454907475,5.810466652924751,225.90308952331543,225.90308952331543,trailing_ma_cross,20D,9,-0.5775434097430853,9150610432.0
10,NVDA,equity,2024-10-15,2024-11-01,137.9310822593109,134.60951522078642,84,eb5e72ba-cec7-45de-b645-6ca1a4f0339f,eb23eebe-8f00-4b43-af6e-1fe1efb2ebd4,-294.0299254303729,4.43077858032018,1,6.2922146035916695,6.717277617350985,1,8.726079590725071,15.018294194316741,126.02260208129883,126.02260208129883,trailing_ma_cross,20D,17,-0.27892451336128105,33491732480.0
11,AMZN,equity,2024-10-30,2024-11-01,194.7355775262407,198.97093091888797,34,dc957984-59f3-4e6f-ac6b-de630a2f8a76,cd88fc7c-a082-4e0c-9f0d-2083d61933cc,140.29553453435855,2.083782351664031,1,2.041775266536181,1.4607578448253333,1,1.6647055491129004,3.7064808156490816,181.2851506471634,181.2851506471634,trailing_ma_cross,20D,2,0.31488616909516476,5458917376.0
12,NVDA,equity,2024-11-07,2024-11-18,146.4443888496032,139.4691079989549,36,88db333b-baa2-4295-a6a3-0393f69a1a15,ff384398-4623-488e-a48b-99176ffa8acd,-255.21001301216836,3.715380844424766,1,2.4859478374376787,2.214480361654223,1,1.613954551392261,4.09990238882994,133.80736899375916,133.80736899375916,trailing_ma_cross,20D,11,-0.5519719783792648,31102074880.0
13,AMZN,equity,2024-11-04,2024-11-22,196.5921775682896,198.09973215377082,23,b7c64c1f-0ec0-41b0-b65d-6fa360d2daf9,00d4d8b3-4218-4bae-973d-c2e3e5973a24,27.039902247351396,7.237496678856801,1,3.7246830425584276,7.579714816100672,1,3.9091701761581494,7.6338532187165775,185.79038262367249,185.79038262367249,trailing_ma_cross,20D,18,0.13956519200843373,6632355328.0
14,GOOGL,equity,2024-11-07,2024-11-22,177.52107369568125,165.78055910945073,43,8cf40d92-961c-4d93-ada8-496f7a9eb35a,6e9b90cd-22a0-46be-a167-053545770b4a,-514.0822960752494,6.260640960440453,1,5.542342149769796,4.187337444024926,1,3.6978267175673176,9.240168867337115,166.55803883075714,166.55803883075714,trailing_ma_cross,20D,15,-1.0709182932359294,4355548672.0
15,AMZN,equity,2024-12-05,2024-12-31,218.13742153121734,222.8674620495822,61,f1e3da29-6c71-4b08-995d-daa89185d8fd,28d65f59-ec9b-4e54-bddd-844b48d84b0e,273.33933643891737,4.926971174697238,1,7.886654678183666,4.3744215419628505,1,7.3064805031553615,15.193135181339027,205.42332434654236,205.42332434654236,trailing_ma_cross,20D,26,0.372031175289917,8871530496.0
16,AAPL,equity,2024-11-27,2025-01-03,234.46847816526258,243.21964072326642,48,00de86f4-c074-4be5-bca4-ba7af89086b4,f7be26b6-e605-438a-b739-6782274323eb,410.8623808163861,0.14850094582759743,1,1.292578890909895,5.767582459446823,1,7.900843076888334,9.19342196779823,225.50266635417938,225.50266635417938,trailing_ma_cross,20D,37,0.9760591391385198,10688753664.0
17,NVDA,equity,2025-01-07,2025-01-10,153.11830085749622,137.35179556367373,42,b1897e76-d7e8-4a41-bc11-2e89d9ad98c1,15112349-bbd9-40e6-8e82-b3523cba6795,-671.2455354595095,5.77024628528676,1,4.353924151877514,7.144517042473673,1,4.698388967087342,9.052313118964857,136.10849165916443,136.10849165916443,data_missing,20D,3,-0.9269066519199264,27653910528.0
18,GOOGL,equity,2025-06-11,2025-06-23,179.84499533746683,166.20974350527095,9,633b414c-aa0b-4222-bbfe-9664d6b38cc2,365d8f76-021b-4d88-89d3-e482653d831b,-124.24606722596378,4.171500429638641,1,0.8370616235904622,3.6242717051495923,1,0.6917391126104361,1.5288007362008984,166.55896544456482,166.55896544456482,trailing_ma_cross,20D,12,-1.0262848979047112,7242219008.0
19,AMZN,equity,2025-06-09,2025-06-24,214.85209687003942,212.09995669099627,7,666f90c4-edf1-49b6-888b-61e6ea7c476c,02d7ab49-9924-40f5-bd99-6d6fd82a171c,-20.524089755851044,4.754219792289955,1,0.8654143317572057,1.6516754305971797,1,0.3936941707917685,1.2591085025489743,199.76433658599854,199.76433658599854,trailing_ma_cross,20D,15,-0.18240879542301822,8442851328.0
