week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-02-26/2024-03-03,2024-03-01,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-15/2024-04-21,2024-04-15,2024-04-21,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-22/2024-04-28,2024-04-22,2024-04-28,100000.0,99723.08043453668,-0.002769195654633183,-0.2769195654633183,0,0.0,0.015382661983573258,0.002769195654633222,0.2769195654633222
2024-04-29/2024-05-05,2024-04-29,2024-05-05,99433.26085445855,99890.78148434137,0.004601283574039661,0.46012835740396607,0,0.0,0.023571725268212353,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,100091.67506583528,99894.56013663606,-0.0019693438946801756,-0.19693438946801756,0,0.0,0.018405664011118,0.0029317757173635815,0.29317757173635817
2024-05-13/2024-05-19,2024-05-13,2024-05-19,100094.4169481595,101006.12069876985,0.00910843759729918,0.9108437597299179,0,0.0,0.029284618352930638,0.0002799627173177195,0.02799627173177195
2024-05-20/2024-05-26,2024-05-20,2024-05-26,101147.30766471224,102892.62155326204,0.017255169008899784,1.7255169008899784,0,0.0,0.05532897719424301,0.0016852309509944193,0.16852309509944194
2024-05-27/2024-06-02,2024-05-27,2024-06-02,102892.62155326204,102590.9172672411,-0.0029322246966442256,-0.29322246966442256,1,191.8772471485372,0.05672409001308612,0.008685340711477179,0.8685340711477179
2024-06-03/2024-06-09,2024-06-03,2024-06-09,102729.06881637391,103252.50211257752,0.005095279283989562,0.5095279283989562,0,0.0,0.03596551704873904,0.001597402039001632,0.1597402039001632
2024-06-10/2024-06-16,2024-06-10,2024-06-16,103360.04237289247,104586.72387980226,0.011868043769605707,1.1868043769605707,0,0.0,0.032703197814968374,0.0,0.0
2024-06-17/2024-06-23,2024-06-17,2024-06-23,105005.82443522218,103356.9070644193,-0.015703103896109072,-1.5703103896109072,0,0.0,0.0542795885208124,0.015703103896109075,1.5703103896109076
2024-06-24/2024-06-30,2024-06-24,2024-06-30,103501.20689962438,103839.80693624547,0.0032714597903140685,0.32714597903140685,1,3012.0811927689374,0.023442868191284966,0.0023239456119466175,0.23239456119466176
