date,equity,cash,positions,exposure,exposure_pct
2024-03-01,100000.0,100000.0,0,0.0,0.0
2024-03-02,100000.0,100000.0,0,0.0,0.0
2024-03-03,100000.0,100000.0,0,0.0,0.0
2024-03-04,100000.0,100000.0,0,0.0,0.0
2024-03-05,100000.0,100000.0,0,0.0,0.0
2024-03-06,100000.0,100000.0,0,0.0,0.0
2024-03-07,100000.0,100000.0,0,0.0,0.0
2024-03-08,100000.0,100000.0,0,0.0,0.0
2024-03-09,100000.0,100000.0,0,0.0,0.0
2024-03-10,100000.0,100000.0,0,0.0,0.0
2024-03-11,100000.0,100000.0,0,0.0,0.0
2024-03-12,100000.0,100000.0,0,0.0,0.0
2024-03-13,100000.0,100000.0,0,0.0,0.0
2024-03-14,100000.0,100000.0,0,0.0,0.0
2024-03-15,100000.0,100000.0,0,0.0,0.0
2024-03-16,100000.0,100000.0,0,0.0,0.0
2024-03-17,100000.0,100000.0,0,0.0,0.0
2024-03-18,100000.0,100000.0,0,0.0,0.0
2024-03-19,100000.0,100000.0,0,0.0,0.0
2024-03-20,100000.0,100000.0,0,0.0,0.0
2024-03-21,100000.0,100000.0,0,0.0,0.0
2024-03-22,100000.0,100000.0,0,0.0,0.0
2024-03-23,100000.0,100000.0,0,0.0,0.0
2024-03-24,100000.0,100000.0,0,0.0,0.0
2024-03-25,100000.0,100000.0,0,0.0,0.0
2024-03-26,100000.0,100000.0,0,0.0,0.0
2024-03-27,100000.0,100000.0,0,0.0,0.0
2024-03-28,100000.0,100000.0,0,0.0,0.0
2024-03-29,100000.0,100000.0,0,0.0,0.0
2024-03-30,100000.0,100000.0,0,0.0,0.0
2024-03-31,100000.0,100000.0,0,0.0,0.0
2024-04-01,100000.0,100000.0,0,0.0,0.0
2024-04-02,100000.0,100000.0,0,0.0,0.0
2024-04-03,100000.0,100000.0,0,0.0,0.0
2024-04-04,100000.0,100000.0,0,0.0,0.0
2024-04-05,100000.0,100000.0,0,0.0,0.0
2024-04-06,100000.0,100000.0,0,0.0,0.0
2024-04-07,100000.0,100000.0,0,0.0,0.0
2024-04-08,100000.0,100000.0,0,0.0,0.0
2024-04-09,100000.0,100000.0,0,0.0,0.0
2024-04-10,100000.0,100000.0,0,0.0,0.0
2024-04-11,99963.40922713764,85767.70961165913,1,14195.699615478516,14.200895833017194
2024-04-12,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-13,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-14,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-15,99663.70906234272,85767.70961165913,1,13895.999450683594,13.942888119878438
2024-04-16,99760.00972152241,85767.70961165913,1,13992.300109863281,14.02596105285318
2024-04-17,99808.60911727436,85767.70961165913,1,14040.899505615234,14.067824038222277
2024-04-18,99635.80928206928,85767.70961165913,1,13868.099670410156,13.918790613874096
2024-04-19,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-20,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-21,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-22,100011.10911727436,85767.70961165913,1,14243.399505615234,14.24181736542211
2024-04-23,100089.41005111225,85767.70961165913,1,14321.700439453125,14.308906838535185
2024-04-24,99807.70961165913,85767.70961165913,1,14040.0,14.067049584273702
2024-04-25,101243.20933700092,85767.70961165913,1,15475.499725341797,15.285469343261951
2024-04-26,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-27,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-28,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-29,100417.90950179585,85767.70961165913,1,14650.199890136719,14.589230111262891
2024-04-30,100515.10966659077,85767.70961165913,1,14747.40005493164,14.67182407087736
2024-05-01,100763.509172206,85767.70961165913,1,14995.799560546875,14.882172806148386
2024-05-02,100819.3101060439,85767.70961165913,1,15051.600494384766,14.929283366999012
2024-05-03,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-04,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-05,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-06,101174.66459038359,85037.73258354765,2,16136.932006835938,15.949577962198369
2024-05-07,101005.22904350859,85037.73258354765,2,15967.496459960938,15.808583982402382
2024-05-08,101044.10920097929,85037.73258354765,2,16006.37661743164,15.840979493019777
2024-05-09,100935.25602104765,85037.73258354765,2,15897.5234375,15.750218569995948
2024-05-10,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-11,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-12,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-13,101099.18027641875,85037.73258354765,2,16061.447692871094,15.886822869341707
2024-05-14,101320.67206719023,85037.73258354765,2,16282.939483642578,16.07069826071094
2024-05-15,101468.80393364531,85037.73258354765,2,16431.071350097656,16.19322462975184
2024-05-16,101622.96433403593,85037.73258354765,2,16585.23175048828,16.320358158390675
2024-05-17,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-18,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-19,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-20,101807.32114555937,85037.73258354765,2,16769.58856201172,16.471888635627042
2024-05-21,101671.53299858671,85037.73258354765,2,16633.800415039062,16.360332065879525
2024-05-22,101487.62488701445,85037.73258354765,2,16449.892303466797,16.20876665680211
2024-05-23,101638.58509209257,85037.73258354765,2,16600.852508544922,16.33321881990313
2024-05-24,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-25,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-26,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-27,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-28,101787.33200981718,85037.73258354765,2,16749.59942626953,16.45548527065634
2024-05-29,101411.63263847929,85037.73258354765,2,16373.90005493164,16.145978157459208
2024-05-30,101439.79660942656,85037.73258354765,2,16402.064025878906,16.169259574752246
2024-05-31,101543.03241875273,85037.73258354765,2,16505.299835205078,16.254487818660927
2024-06-01,101543.03241875273,85037.73258354765,2,16505.299835205078,16.254487818660927
2024-06-02,101543.03241875273,85037.73258354765,2,16505.299835205078,16.254487818660927
2024-06-03,101576.68569247887,73537.43996493981,3,28039.245727539062,27.604017138762778
2024-06-04,101860.19002597497,73537.43996493981,3,28322.750061035156,27.805514650829423
2024-06-05,101885.4433371322,73537.43996493981,3,28348.003372192383,27.823408765460943
2024-06-06,101822.45453708337,73537.43996493981,3,28285.014572143555,27.778759312703716
2024-06-07,101656.73918979333,73537.43996493981,3,28119.299224853516,27.66102813149921
2024-06-08,101656.73918979333,73537.43996493981,3,28119.299224853516,27.66102813149921
2024-06-09,101656.73918979333,73537.43996493981,3,28119.299224853516,27.66102813149921
2024-06-10,102622.36919467614,73537.43996493981,3,29084.929229736328,28.34170508630705
2024-06-11,103278.00702778832,60031.31730000512,4,43246.6897277832,41.87405525374546
2024-06-12,103161.73754231469,60031.31730000512,4,43130.42024230957,41.808543816566115
2024-06-13,103254.03728596703,60031.31730000512,4,43222.719985961914,41.86056170012463
2024-06-14,103713.75750081078,60031.31730000512,4,43682.440200805664,42.11826979700757
2024-06-15,103713.75750081078,60031.31730000512,4,43682.440200805664,42.11826979700757
2024-06-16,103713.75750081078,60031.31730000512,4,43682.440200805664,42.11826979700757
2024-06-17,103353.70647542016,60031.31730000512,4,43322.38917541504,41.91662849142046
2024-06-18,103132.37751118676,60031.31730000512,4,43101.06021118164,41.791977700219775
2024-06-19,103132.37751118676,60031.31730000512,4,43101.06021118164,41.791977700219775
2024-06-20,103395.66802327172,60031.31730000512,4,43364.3507232666,41.94020073791331
2024-06-21,103264.02779500023,60031.31730000512,4,43232.71049499512,41.86618652995088
2024-06-22,103264.02779500023,60031.31730000512,4,43232.71049499512,41.86618652995088
2024-06-23,103264.02779500023,60031.31730000512,4,43232.71049499512,41.86618652995088
2024-06-24,103917.31797139184,60031.31730000512,4,43886.00067138672,42.23165255618743
2024-06-25,104190.42786519066,60031.31730000512,4,44159.11056518555,42.383078244310404
2024-06-26,104414.52426990544,57493.403328743334,5,46921.12094116211,44.93735068875452
2024-06-27,103669.50287708317,57493.403328743334,5,46176.099548339844,44.541642688389295
2024-06-28,104467.38414844548,57493.403328743334,5,46973.98081970215,44.96521206365551
2024-06-29,104467.38414844548,57493.403328743334,5,46973.98081970215,44.96521206365551
2024-06-30,104467.38414844548,57493.403328743334,5,46973.98081970215,44.96521206365551
2024-07-01,104979.97402271305,57493.403328743334,5,47486.57069396973,45.23393260098894
2024-07-02,105167.4337700275,57493.403328743334,5,47674.03044128418,45.33155248946578
2024-07-03,106102.46360096012,57493.403328743334,5,48609.0602722168,45.813319146886364
2024-07-04,106102.46360096012,57493.403328743334,5,48609.0602722168,45.813319146886364
2024-07-05,106017.29323658024,57493.403328743334,5,48523.889907836914,45.76978757565017
2024-07-06,106017.29323658024,57493.403328743334,5,48523.889907836914,45.76978757565017
2024-07-07,106017.29323658024,57493.403328743334,5,48523.889907836914,45.76978757565017
2024-07-08,105881.92276844059,57493.403328743334,5,48388.519439697266,45.700454028891194
2024-07-09,106575.72235950505,57493.403328743334,5,49082.31903076172,46.05393981304249
2024-07-10,105271.88485034977,57493.403328743334,5,47778.481521606445,45.385794687277034
2024-07-11,105373.90332874333,57493.403328743334,5,47880.5,45.43866981051599
2024-07-12,105716.34262928044,57493.403328743334,5,48222.93930053711,45.6154063801113
2024-07-13,105716.34262928044,57493.403328743334,5,48222.93930053711,45.6154063801113
2024-07-14,105716.34262928044,57493.403328743334,5,48222.93930053711,45.6154063801113
2024-07-15,105355.84331592594,57493.403328743334,5,47862.43998718262,45.429316951751424
2024-07-16,104425.25354846989,57493.403328743334,5,46931.85021972656,44.943008156492276
2024-07-17,103772.632439822,75925.82305261497,3,27846.80938720703,26.834444431536863
2024-07-18,103767.8720838422,89590.14222544376,2,14177.729858398438,13.662928200882002
2024-07-19,103792.10262888615,89590.14222544376,2,14201.960403442383,13.683083822111403
2024-07-20,103792.10262888615,89590.14222544376,2,14201.960403442383,13.683083822111403
2024-07-21,103792.10262888615,89590.14222544376,2,14201.960403442383,13.683083822111403
2024-07-22,103846.45187205021,89590.14222544376,2,14256.309646606445,13.728258779772007
2024-07-23,103387.66260323541,90493.80299935357,1,12893.859603881836,12.471371611682356
2024-07-24,103325.71332345025,90493.80299935357,1,12831.91032409668,12.418893527429844
2024-07-25,103353.44339547174,90493.80299935357,1,12859.640396118164,12.442391829086933
2024-07-26,103369.96332345025,90493.80299935357,1,12876.16032409668,12.456384727356893
2024-07-27,103369.96332345025,90493.80299935357,1,12876.16032409668,12.456384727356893
2024-07-28,103369.96332345025,90493.80299935357,1,12876.16032409668,12.456384727356893
2024-07-29,103403.00317940729,90493.80299935357,1,12909.200180053711,12.484357110649741
2024-07-30,103596.5231073858,90493.80299935357,1,13102.720108032227,12.647837702477954
2024-07-31,103377.04303536432,90493.80299935357,1,12883.240036010742,12.462380096907498
2024-08-01,103465.54303536432,90493.80299935357,1,12971.740036010742,12.537256032742249
2024-08-02,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-03,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-04,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-05,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-06,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-07,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-08,102592.48690572401,102592.48690572401,0,0.0,0.0
2024-08-09,102574.55014262341,94835.29995951794,1,7739.250183105469,7.545000365436194
2024-08-10,102574.55014262341,94835.29995951794,1,7739.250183105469,7.545000365436194
2024-08-11,102574.55014262341,94835.29995951794,1,7739.250183105469,7.545000365436194
2024-08-12,102763.3996299281,94835.29995951794,1,7928.099670410156,7.714905986918354
2024-08-13,102736.70010600232,94835.29995951794,1,7901.400146484375,7.690922657951655
2024-08-14,102895.2502158656,94835.29995951794,1,8059.950256347656,7.833160655558499
2024-08-15,102746.59970317029,94835.29995951794,1,7911.299743652344,7.699816603671253
2024-08-16,103015.8376514121,89486.63721195898,2,13529.200439453125,13.133126660808811
2024-08-17,103015.8376514121,89486.63721195898,2,13529.200439453125,13.133126660808811
2024-08-18,103015.8376514121,89486.63721195898,2,13529.200439453125,13.133126660808811
2024-08-19,102805.14236623085,77062.9426591996,3,25742.19970703125,25.03979773242061
2024-08-20,103063.22177296913,77062.9426591996,3,26000.27911376953,25.22750469711082
2024-08-21,102626.39251118935,77062.9426591996,3,25563.449851989746,24.909235554784377
2024-08-22,102828.45218068398,77062.9426591996,3,25765.509521484375,25.05679019286488
2024-08-23,102625.20260030068,77062.9426591996,3,25562.259941101074,24.908364898103677
2024-08-24,102625.20260030068,77062.9426591996,3,25562.259941101074,24.908364898103677
2024-08-25,102625.20260030068,77062.9426591996,3,25562.259941101074,24.908364898103677
2024-08-26,102858.38258534706,77062.9426591996,3,25795.43992614746,25.07859765804077
2024-08-27,102547.7526414994,77062.9426591996,3,25484.809982299805,24.85165137786405
2024-08-28,102501.85131560935,82196.6916476406,2,20305.15966796875,19.809554078636047
2024-08-29,102559.6720567201,67676.0026841615,3,34883.669372558594,34.01304691503534
2024-08-30,101949.79261641248,67676.0026841615,3,34273.78993225098,33.6183027475167
2024-08-31,101949.79261641248,67676.0026841615,3,34273.78993225098,33.6183027475167
2024-09-01,101949.79261641248,67676.0026841615,3,34273.78993225098,33.6183027475167
2024-09-02,101949.79261641248,67676.0026841615,3,34273.78993225098,33.6183027475167
2024-09-03,101978.24826956475,81631.64841604912,2,20346.599853515625,19.951901703324353
2024-09-04,101879.00803518975,81631.64841604912,2,20247.359619140625,19.873926935121943
2024-09-05,101149.3244193141,88754.30501013441,1,12395.019409179688,12.254179135983337
2024-09-06,101291.66511755629,88754.30501013441,1,12537.360107421875,12.37748445824379
2024-09-07,101291.66511755629,88754.30501013441,1,12537.360107421875,12.37748445824379
2024-09-08,101291.66511755629,88754.30501013441,1,12537.360107421875,12.37748445824379
2024-09-09,101392.86458044691,88754.30501013441,1,12638.5595703125,12.46493983833038
2024-09-10,101522.66511755629,88754.30501013441,1,12768.360107421875,12.57685669760244
2024-09-11,101658.40474157972,88754.30501013441,1,12904.099731445312,12.693588655309041
2024-09-12,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-13,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-14,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-15,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-16,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-17,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-18,100558.02450346493,100558.02450346493,0,0.0,0.0
2024-09-19,100517.21935220224,91568.21959634287,2,8948.999755859375,8.902951965377175
2024-09-20,100712.31932778818,91568.21959634287,2,9144.099731445312,9.079425230675136
2024-09-21,100712.31932778818,91568.21959634287,2,9144.099731445312,9.079425230675136
2024-09-22,100712.31932778818,91568.21959634287,2,9144.099731445312,9.079425230675136
2024-09-23,100761.29982705576,91568.21959634287,2,9193.08023071289,9.123622111357902
2024-09-24,100946.76323372805,83990.86351448977,3,16955.89971923828,16.796873100308602
2024-09-25,100949.6240735718,83990.86351448977,3,16958.76055908203,16.79923101716806
2024-09-26,101056.82365853274,83990.86351448977,3,17065.96014404297,16.887489163233763
2024-09-27,101041.9633680054,83990.86351448977,3,17051.099853515625,16.87526576598055
2024-09-28,101041.9633680054,83990.86351448977,3,17051.099853515625,16.87526576598055
2024-09-29,101041.9633680054,83990.86351448977,3,17051.099853515625,16.87526576598055
2024-09-30,100952.20293099368,83990.86351448977,3,16961.339416503906,16.801356408337025
